time,ACO,IWO,LBBO,GA,PSO
17.916,1.0004,1.0013,0.99998,1.0005,1.0015
17.956,1.0004,1.0013,0.99997,1.0005,1.0015
17.996,1.0004,1.0013,0.99997,1.0005,1.0015
18.036,1.0004,1.0013,0.99996,1.0005,1.0015
18.076,1.0004,1.0013,0.99996,1.0005,1.0015
18.116,1.0004,1.0013,0.99995,1.0005,1.0015
18.156,1.0004,1.0013,0.99995,1.0005,1.0015
18.196,1.0003,1.0013,0.99994,1.0005,1.0015
18.236,1.0003,1.0013,0.99994,1.0005,1.0015
18.277,1.0003,1.0013,0.99993,1.0005,1.0014
18.317,1.0003,1.0013,0.99993,1.0005,1.0014
18.357,1.0003,1.0012,0.99993,1.0005,1.0014
18.397,1.0003,1.0012,0.99992,1.0005,1.0013
18.437,1.0003,1.0012,0.99992,1.0005,1.0013
18.477,1.0003,1.0011,0.99992,1.0005,1.0012
18.517,1.0003,1.0011,0.99992,1.0005,1.0012
18.557,1.0002,1.001,0.99991,1.0005,1.0011
18.597,1.0002,1.001,0.99991,1.0005,1.0011
18.637,1.0002,1.0009,0.99991,1.0005,1.001
18.677,1.0002,1.0009,0.99991,1.0005,1.0009
18.717,1.0002,1.0008,0.99991,1.0005,1.0009
18.758,1.0002,1.0008,0.99991,1.0005,1.0008
18.798,1.0002,1.0007,0.9999,1.0005,1.0007
18.838,1.0002,1.0007,0.9999,1.0005,1.0007
18.878,1.0002,1.0006,0.9999,1.0004,1.0006
18.918,1.0001,1.0005,0.9999,1.0004,1.0005
18.958,1.0001,1.0005,0.9999,1.0004,1.0005
18.998,1.0001,1.0004,0.9999,1.0004,1.0004
19.038,1.0001,1.0004,0.9999,1.0004,1.0003
19.078,1.0001,1.0003,0.9999,1.0004,1.0002
19.118,1.0001,1.0002,0.9999,1.0003,1.0002
19.158,1.0001,1.0002,0.9999,1.0003,1.0001
19.198,1.0001,1.0001,0.9999,1.0003,1
19.238,1.0001,1.0001,0.9999,1.0003,0.99998
19.279,1.0001,1,0.9999,1.0003,0.99992
19.319,1.0001,0.99995,0.9999,1.0002,0.99986
19.359,1.0001,0.99989,0.99991,1.0002,0.9998
19.399,1.0001,0.99984,0.99991,1.0002,0.99974
19.439,1.0001,0.99979,0.99991,1.0002,0.99969
19.479,1,0.99975,0.99991,1.0002,0.99964
19.519,1,0.9997,0.99991,1.0001,0.9996
19.559,1,0.99966,0.99991,1.0001,0.99955
19.599,1,0.99962,0.99991,1.0001,0.99951
19.639,1,0.99959,0.99991,1.0001,0.99947
19.679,1,0.99955,0.99991,1,0.99944
19.719,1,0.99952,0.99992,1,0.99941
19.76,1,0.9995,0.99992,1,0.99938
19.8,1,0.99947,0.99992,0.99999,0.99936
19.84,1,0.99945,0.99992,0.99998,0.99934
19.88,1,0.99943,0.99992,0.99996,0.99932
19.92,0.99999,0.99941,0.99992,0.99994,0.99931
19.96,0.99999,0.9994,0.99993,0.99993,0.9993
20,0.99998,0.99939,0.99993,0.99991,0.99929
